x,y,which,b0,b1,b2
-11.875,16.875,s3: poly,1393.934890660551,-137.73562134655012,3.3941702389507262
-11.875,17.125,s3: poly,1131.6430716103023,-112.16493804799123,2.773853332968088
-11.625,10.625,s3: poly,182.8259327171954,-59.03720404465812,2.5800317213159008
-11.625,10.875,s3: poly,179.3518027181647,-57.4711896022228,2.50048634757422
-11.625,11.125,s3: poly,1097.5344535263432,-142.39200687620607,4.434139837865335
-11.625,11.375,s3: poly,1765.6027492451685,-205.0176845332652,5.88485985833658
-11.625,11.875,s3: poly,2588.4465275327425,-282.28847786167,7.671797276438467
-11.625,12.125,s3: poly,3099.9172452472785,-328.14700584780024,8.673229281732816
-11.625,12.375,s3: poly,2906.837925009543,-307.7458929038231,8.133349344319146
-11.625,12.625,s3: poly,3088.8537321672434,-321.45530664463837,8.35529453051397
-11.625,12.875,s3: poly,3151.5812942408015,-326.22216185622113,8.433511061860193
-11.625,13.125,s3: poly,2973.1429652199713,-305.804931811408,7.855582892949638
-11.625,13.375,s3: poly,3239.8910800690815,-329.2078098563689,8.352789392616454
-11.625,13.625,s3: poly,2903.459788900032,-296.0187270559338,7.536597809267038
-11.625,13.875,s3: poly,2887.530111100463,-292.97925329010957,7.422163824445555
-11.625,14.125,s3: poly,2892.226002552369,-291.67296915588497,7.342774286551986
-11.625,14.375,s3: poly,2659.6636419050596,-268.3766957035767,6.761066858568317
-11.625,14.625,s3: poly,2776.6180716537965,-277.63971409637077,6.9282827457330765
-11.625,14.875,s3: poly,2657.101002275725,-265.04770903938345,6.597226222849438
-11.625,15.125,s3: poly,2509.5360156880033,-249.63564803343317,6.194892669488089
-11.625,15.375,s3: poly,2100.181121519271,-209.86341173942307,5.232703597546184
-11.625,15.625,s3: poly,2026.005002649398,-202.10417444584203,5.030487071335905
-11.625,15.875,s3: poly,1889.043412335105,-187.56909160768043,4.646319160260997
-11.625,16.125,s3: poly,1696.5651705086723,-168.31653130130047,4.165898034221576
-11.625,16.375,s3: poly,1475.1036513674069,-146.602373361465,3.635707817343314
-11.625,16.625,s3: poly,1250.9702673567876,-124.66860354822971,3.1001840242029797
-11.625,16.875,s3: poly,1278.2349869158782,-126.3900385443144,3.1170106245696916
-11.625,17.125,s3: poly,1164.182651845689,-115.12386863448077,2.8399363206870953
-11.625,17.375,s3: poly,1015.54701663634,-100.46838358473396,2.4801885925841956
-11.375,10.625,s3: poly,111.42584723048816,-51.083042669552775,2.3560484632528764
-11.375,10.875,s3: poly,539.3083756043249,-90.70596146169555,3.257735612868383
-11.375,11.125,s3: poly,1200.8970737228692,-151.84572317952956,4.6472635441087595
-11.375,11.375,s3: poly,1343.22526337396,-165.0441543649109,4.9429360341627175
-11.375,11.625,s3: poly,1909.2647047742946,-219.0355235986672,6.21950776214889
-11.375,11.875,s3: poly,2618.0574473476227,-285.0572787073708,7.735867922344016
-11.375,12.125,s3: poly,2818.5872146255033,-300.98153919320725,8.021118082178296
-11.375,12.375,s3: poly,2791.079683655063,-297.619810497793,7.9178971930450475
-11.375,12.625,s3: poly,2963.001380309194,-310.64731062450323,8.13265172099717
-11.375,12.875,s3: poly,3094.6461579989104,-320.65463471565016,8.297384136496241
-11.375,13.125,s3: poly,2963.6753749502054,-305.21635261648237,7.850309354704194
-11.375,13.375,s3: poly,3068.166704238023,-313.1589796440825,7.981764275949799
-11.375,13.625,s3: poly,3069.393357826236,-311.4464950215192,7.8909781741957286
-11.375,13.875,s3: poly,2980.595764204041,-302.0258977849749,7.641501474907625
-11.375,14.125,s3: poly,3045.3114515564675,-306.4237720502371,7.696424187050612
-11.375,14.625,s3: poly,2753.222205683265,-275.62651703454515,6.88639870577469
-11.375,14.875,s3: poly,2462.3361851435825,-246.6948973248053,6.16819961333551
-11.375,15.125,s3: poly,2713.09799975499,-268.9121205933606,6.648409808243642
-11.375,15.375,s3: poly,2279.7478332597125,-226.83260442030462,5.630919034595975
-11.375,15.625,s3: poly,2281.1684412161235,-226.29840094548487,5.599793223123036
-11.375,15.875,s3: poly,1901.8629265783486,-188.74195740837823,4.673090712273585
-11.375,16.125,s3: poly,1773.0764823179904,-175.69793119890954,4.342528137109735
-11.375,16.375,s3: poly,1533.0627255593631,-152.02188949490358,3.7606055800875
-11.375,16.875,s3: poly,1288.2125037472117,-127.45850634525725,3.1456450384010095
-11.375,17.125,s3: poly,1142.757343156425,-113.12554688028546,2.7937257535199045
-11.375,17.375,s3: poly,964.1755325280126,-95.34898677691858,2.3523616212044147
-11.375,17.625,s3: poly,966.079594086394,-95.13021929826391,2.3366740378766004
-11.375,17.875,s3: poly,744.7759031250824,-73.81892898720828,1.8257661204320228
-11.125,11.125,s3: poly,1102.6275171301784,-140.76600813307292,4.334974866030468
-11.125,11.375,s3: poly,1638.3594526237403,-191.6084966034685,5.527044667844463
-11.125,11.625,s3: poly,1762.4169502476116,-203.72153245842725,5.820309276782039
-11.125,11.875,s3: poly,2756.3002188114538,-296.7535211094845,7.970791688372792
-11.125,12.125,s3: poly,2531.791584910647,-273.55413952839007,7.368792937802375
-11.125,12.375,s3: poly,2726.2148065183587,-290.6922770821345,7.733232010636069
-11.125,12.625,s3: poly,2770.5541894081475,-291.58802732276916,7.662061682403854
-11.125,12.875,s3: poly,3076.683940570392,-318.04838155206073,8.211838511960012
-11.125,13.125,s3: poly,3172.7718221381874,-324.2263628576419,8.27618616520993
-11.125,13.375,s3: poly,3282.1719565300878,-332.61648952950907,8.417527397743223
