model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,isConv,finTol,NSE,R2_test,id,seed
nls,NA,NA,59.19931992961222,NA,NA,NA,-1692.9501040275156,3391.9002080550313,3403.090507403952,1072395.2009193464,306,308,TRUE,7.68040273246688e-6,0.6002104640152075,0.6092502092184531,11_s2_m1_r3_Goudiry_-12.625_14.125,1
lm,0.6864917409063824,0.6854672041119588,48.91007836983313,670.0508411634046,4.6329776511323146e-79,1,-1634.144718228009,3274.289436456018,3285.4797358049386,732011.904439825,306,308,NA,NA,0.7302788276081955,0.7317809170459626,12_s3_m1_r3_Goudiry_-12.625_14.125,1
poly,0.7691759464362384,0.7676623460850007,42.03636853098203,508.17637945658987,7.949909538572654e-98,2,-1586.994544833884,3181.989089667768,3196.909488799662,538952.1651781235,305,308,NA,NA,0.8204171603204478,0.8207213054268439,12_s3_m1_r3_Goudiry_-12.625_14.125,1
step,0.7502578549770152,0.7452796062390156,44.014649692280784,150.70718528991694,1.3724722034790084e-87,6,-1599.1256204454867,3214.2512408909733,3244.092039154762,583124.105647792,301,308,NA,NA,0.7921681087814358,0.792655330001452,12_s3_m1_r3_Goudiry_-12.625_14.125,1
nls,NA,NA,106.41430683636925,NA,NA,NA,-1873.570536779525,3753.14107355905,3764.3313729079705,3465145.4380362723,306,308,TRUE,4.758333396570689e-9,-0.5606136263853785,0.010531830665226156,12_s3_m1_r3_Goudiry_-12.625_14.125,1
lm,0.6671280161903455,0.6660472629961582,52.44514861873905,617.2806333383795,1.4969488756551241e-75,1,-1666.3957344606183,3338.7914689212366,3350.001185813674,847152.0330016208,308,310,NA,NA,0.5979884354950409,0.6072759510550391,13_s1_m1_r3_Kayes_-11.375_14.375,1
poly,0.7730925476287501,0.7716143231833348,43.37078159074036,522.9872567907297,1.3267363292650062e-99,2,-1606.9972935952494,3221.994587190499,3236.9408763804154,577474.5816080528,307,310,NA,NA,0.7225186854519199,0.7263048220430985,13_s1_m1_r3_Kayes_-11.375_14.375,1
step,0.7442283701738263,0.7391635854247931,46.34970002738975,146.94175706398934,1.2686805328660764e-86,6,-1625.5574182660087,3267.1148365320173,3297.007414911851,650933.2918665911,303,310,NA,NA,0.7156333594963182,0.7250354287319061,13_s1_m1_r3_Kayes_-11.375_14.375,1
nls,NA,NA,45.25624863634577,NA,NA,NA,-1620.6933386722542,3247.3866773445084,3258.596394236946,630823.4365155025,308,310,TRUE,7.818180878329926e-6,0.7051063789552285,0.7136421711977989,13_s1_m1_r3_Kayes_-11.375_14.375,1
lm,0.5257926071061528,0.5242327143663704,62.86276925872182,337.06971876765186,3.512794806686591e-51,1,-1700.3238588213812,3406.6477176427625,3417.8184729486197,1201325.2386980916,304,306,NA,NA,0.5069015239303621,0.5144052812020934,14_s2_m1_r3_Kayes_-11.375_14.375,1
