model,term,estimate,std.error,statistic,p.value,id
step,rhum,-4.30635738092039,2.70624806577432,-1.59126483465522,0.112610201011516,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
step,nino12,-22.9191286674522,4.76839476508648,-4.80646628405493,2.44E-06,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
step,tni,11.8173841905746,3.28744718454445,3.59469932966001,3.80E-04,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
step,nino34,-59.6486140026916,9.06944478823107,-6.57687602664437,2.15E-10,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
step,oni,87.2423450247632,11.7307661211992,7.43705433416695,1.10E-12,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
nls,a,4.31E-14,9.25E-14,0.466672411383435,0.64106852946978,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
nls,b,1.29881630307251,0.07731734301085,16.7985118538055,2.97E-45,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
lm,(Intercept),-797.950004079141,24.42593413559,-32.6681468823124,1.87E-101,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
lm,sst,40.3637705146395,1.1134030071865,36.2526149598213,2.12E-112,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
poly,(Intercept),2648.87662752337,251.961697246201,10.5130131145888,3.04E-22,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
poly,"poly(sst, 2, raw = TRUE)1",-274.594055231083,22.972950588836,-11.9529293448498,3.08E-27,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
poly,"poly(sst, 2, raw = TRUE)2",7.11479073026995,0.518573862617287,13.7199177265915,1.19E-33,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
step,(Intercept),2349.20043976577,2909.16608677893,0.807516783054087,0.420012889170459,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
step,sst,59.1597741840186,3.4133299474638,17.3319822855027,5.01E-47,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
step,mslp,-4.97041611983722,2.92928643731764,-1.69680098761139,0.090778461736124,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
step,nino12,14.0222041526956,3.24718136456967,4.31826947077651,2.14E-05,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
step,tni,-7.84651999910184,2.40979026241409,-3.25610079909664,0.001259788734043,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
step,nino34,48.5249171863095,7.61621457428293,6.3712644533624,7.10E-10,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
step,nino4,-5.70032151933418,3.94890591357323,-1.44351920357002,0.149924670358157,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
step,oni,-64.7861401216553,10.3259940910011,-6.27408262591541,1.24E-09,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
nls,a,0.001985062520865,8.96E-04,2.21563257443777,0.027457336835837,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
nls,b,0.465115938329811,0.018106899330197,25.6872217516632,3.72E-78,6_s3_m1_r3_Bamako-Senou_-7.875_12.375
lm,(Intercept),-1279.37123317903,56.3129702971206,-22.718944257935,8.51E-68,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
lm,sst,54.3380689278726,2.24853754188081,24.1659602811972,4.26E-73,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
poly,(Intercept),6791.21370274312,1069.63239865075,6.34910994778175,7.78E-10,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
poly,"poly(sst, 2, raw = TRUE)1",-590.98201455042,85.4519881299968,-6.91595394657603,2.70E-11,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
poly,"poly(sst, 2, raw = TRUE)2",12.8544138131587,1.70165702391396,7.55405680023139,4.88E-13,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
step,(Intercept),-2364.69316143155,192.888644689044,-12.2593694680352,2.40E-28,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
step,nino12,35.8689650927921,1.50820066465974,23.7826211944314,2.36E-71,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
step,tni,-19.6312713725574,2.00871673439274,-9.77304118417285,8.52E-20,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
step,nino34,71.4898259601957,5.98504479119652,11.944743682679,3.18E-27,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
step,nino4,-11.738624790054,4.15643336104079,-2.82420618121364,0.005052953630331,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
step,oni,-109.577089749424,6.37472845954488,-17.1892952687819,9.73E-47,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
nls,a,3.15E-06,3.21E-06,0.98130308046925,0.327213482802589,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
nls,b,0.665273822632449,0.037881920368005,17.5617765986949,2.53E-48,7_s1_m1_r3_Bamako-Ville_-7.875_12.625
lm,(Intercept),-2866.05864634121,134.593554578424,-21.2941745636953,3.76E-62,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
lm,sst,109.785290135408,5.01689683950117,21.8831069578708,2.48E-64,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
poly,(Intercept),39952.1841323422,4558.07693532787,8.76514036493953,1.38E-16,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
poly,"poly(sst, 2, raw = TRUE)1",-3086.60739611372,340.175139577288,-9.07358309589946,1.52E-17,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
poly,"poly(sst, 2, raw = TRUE)2",59.6105627127947,6.34350076122733,9.39710815156603,1.44E-18,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
step,(Intercept),22170.8542507341,5178.09819621852,4.28165967708475,2.51E-05,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
step,sst,71.6206795891632,8.70530564336021,8.2272446854052,6.08E-15,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
step,mslp,-21.3866158943435,5.15409218654663,-4.14944380509286,4.36E-05,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
step,rhum,-4.70521007873422,2.58571333589282,-1.81969517402422,0.069812059054176,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
step,nino12,-23.6314000923871,4.57258432383991,-5.16806217638917,4.35E-07,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
step,tni,10.3274604098224,3.21110319254112,3.21617207251744,0.001442495135226,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
step,nino34,-52.5051162078841,8.69193315887336,-6.04067187910702,4.58E-09,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
step,oni,82.4724423637553,11.6624060583755,7.07164901915986,1.10E-11,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
nls,a,5.59E-15,1.15E-14,0.484627617877085,0.628290662138478,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
nls,b,1.37204881587838,0.074401958482549,18.4410309064673,1.93E-51,8_s2_m1_r3_Bamako-Ville_-7.875_12.625
lm,(Intercept),-768.600143227125,24.1399627630264,-31.8393259663325,1.13E-98,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
lm,sst,38.8337481089987,1.10083796584525,35.2765341620293,2.63E-109,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
poly,(Intercept),2675.32741255991,240.100054622007,11.1425522862613,2.20E-24,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
poly,"poly(sst, 2, raw = TRUE)1",-275.86671459055,21.8903213833968,-12.6022231359192,1.51E-29,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
poly,"poly(sst, 2, raw = TRUE)2",7.10911157370849,0.494131940395182,14.3870715340178,4.20E-36,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
step,(Intercept),2008.89500449483,2821.37228550701,0.71202762386738,0.477006600637008,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
step,sst,61.0391526564055,3.30604468260801,18.4628940369475,3.17E-51,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
step,mslp,-4.85724783556505,2.83742656812684,-1.71184970569005,0.087968263767964,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
step,nino12,17.6655296922918,3.15074054703245,5.60678654068494,4.71E-08,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
step,tni,-10.3899528264639,2.42173541845953,-4.29029230330743,2.42E-05,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
step,nino34,53.0545748518316,7.28917615558957,7.27854200795349,3.03E-12,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
step,nino4,-6.72020365892832,3.97775120122296,-1.68944796166794,0.092183021394726,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
step,oni,-73.0582631464104,9.96485508983674,-7.33159313284176,2.17E-12,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
nls,a,0.001473555195745,6.75E-04,2.18180810058365,0.029891823397187,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
nls,b,0.475317314798531,0.018358460989662,25.8909129183642,9.07E-79,9_s3_m1_r3_Bamako-Ville_-7.875_12.625
lm,(Intercept),-1120.14789590554,47.3494988383065,-23.657016935506,3.04E-71,10_s1_m1_r3_Goudiry_-12.625_14.125
lm,sst,47.2031210880695,1.8891768001581,24.9860791663963,4.66E-76,10_s1_m1_r3_Goudiry_-12.625_14.125
poly,(Intercept),9352.29929738739,832.662879406147,11.2317956386592,9.41E-25,10_s1_m1_r3_Goudiry_-12.625_14.125
poly,"poly(sst, 2, raw = TRUE)1",-788.531507206659,66.3958128230798,-11.8762234195069,5.06E-27,10_s1_m1_r3_Goudiry_-12.625_14.125
poly,"poly(sst, 2, raw = TRUE)2",16.6132895420476,1.31950665324618,12.5905310906743,1.37E-29,10_s1_m1_r3_Goudiry_-12.625_14.125
step,(Intercept),-2452.44158419876,219.521603516899,-11.1717550569458,1.70E-24,10_s1_m1_r3_Goudiry_-12.625_14.125
step,rhum,-3.03125695508684,1.37309492217233,-2.2076091799183,0.028020610118702,10_s1_m1_r3_Goudiry_-12.625_14.125
step,nino12,15.7791527804578,2.69649773769912,5.85172112694666,1.26E-08,10_s1_m1_r3_Goudiry_-12.625_14.125
step,tni,-6.03815512746218,2.45589060616822,-2.45864172952034,0.014505490485495,10_s1_m1_r3_Goudiry_-12.625_14.125
step,nino34,99.5092179915586,6.18067215583195,16.1000641164349,1.43E-42,10_s1_m1_r3_Goudiry_-12.625_14.125
step,nino4,-11.1090966786876,4.15648149982732,-2.67271649811245,0.007931438552789,10_s1_m1_r3_Goudiry_-12.625_14.125
step,oni,-117.592331771891,6.52948197347788,-18.0094427474552,8.31E-50,10_s1_m1_r3_Goudiry_-12.625_14.125
nls,a,4.27E-08,4.89E-08,0.874219396467581,0.382679924773932,10_s1_m1_r3_Goudiry_-12.625_14.125
nls,b,0.817340545903414,0.04225627254413,19.342466732006,4.05E-55,10_s1_m1_r3_Goudiry_-12.625_14.125
lm,(Intercept),-2157.81291802532,128.250402026432,-16.8249992509233,1.97E-45,11_s2_m1_r3_Goudiry_-12.625_14.125
lm,sst,82.7356868711676,4.78132531476638,17.3039233736411,2.95E-47,11_s2_m1_r3_Goudiry_-12.625_14.125
poly,(Intercept),31096.9228582569,4433.27380675038,7.01443768505948,1.49E-11,11_s2_m1_r3_Goudiry_-12.625_14.125
poly,"poly(sst, 2, raw = TRUE)1",-2402.53744899405,331.229903789938,-7.25338328908161,3.37E-12,11_s2_m1_r3_Goudiry_-12.625_14.125
poly,"poly(sst, 2, raw = TRUE)2",46.3983365432203,6.1832883443609,7.50382870071637,6.84E-13,11_s2_m1_r3_Goudiry_-12.625_14.125
step,(Intercept),25359.2641225187,4363.95261031522,5.81107688075626,1.58E-08,11_s2_m1_r3_Goudiry_-12.625_14.125
step,sst,58.2715777341214,7.57064151192708,7.69704623344245,2.03E-13,11_s2_m1_r3_Goudiry_-12.625_14.125
step,mslp,-24.3006598430946,4.3459158434847,-5.59160847063469,5.06E-08,11_s2_m1_r3_Goudiry_-12.625_14.125
step,rhum,-5.61122404241325,2.24993643377652,-2.49394781033649,0.013171391026392,11_s2_m1_r3_Goudiry_-12.625_14.125
step,nino12,-20.3577105340436,4.07073072796339,-5.00099660097849,9.72E-07,11_s2_m1_r3_Goudiry_-12.625_14.125
step,tni,12.4161471224914,2.81304135652478,4.41378051328411,1.42E-05,11_s2_m1_r3_Goudiry_-12.625_14.125
step,nino34,-48.8940830751439,8.06954031217887,-6.05909149513151,4.10E-09,11_s2_m1_r3_Goudiry_-12.625_14.125
step,oni,72.6357608804486,10.3312603098057,7.03067764264039,1.39E-11,11_s2_m1_r3_Goudiry_-12.625_14.125
nls,a,1.16E-14,3.17E-14,0.365967042083471,0.714642544021492,11_s2_m1_r3_Goudiry_-12.625_14.125
nls,b,1.33603892448084,0.098539396111709,13.5584241146175,4.05E-33,11_s2_m1_r3_Goudiry_-12.625_14.125
lm,(Intercept),-606.715043560089,25.9289824309032,-23.3991073570625,3.93E-70,12_s3_m1_r3_Goudiry_-12.625_14.125
lm,sst,30.5756235409007,1.18119457638278,25.8853402752099,4.63E-79,12_s3_m1_r3_Goudiry_-12.625_14.125
poly,(Intercept),2467.05685283962,294.913349609917,8.36536174473895,2.18E-15,12_s3_m1_r3_Goudiry_-12.625_14.125
poly,"poly(sst, 2, raw = TRUE)1",-250.638848215605,26.9231557494271,-9.30941567728135,2.62E-18,12_s3_m1_r3_Goudiry_-12.625_14.125
